number,event_number,particle_name,particle_id,E,Px,Py,Pz
10825,7918,e-,11,51.0958,-1.10475,-13.6143,49.2363
10826,7919,e-,11,96.1005,90.0528,31.8003,-10.7025
10827,7919,e+,-11,65.7628,-60.2947,-15.5806,21.1314
10828,7920,e-,11,37.7357,-1.03912,37.3745,5.10394
10829,7920,e+,-11,24.0947,-7.98812,21.2306,8.12442
10830,7921,e+,-11,101.253,-11.5854,24.9853,-97.4358
10831,7922,e+,-11,139.5,63.8867,104.512,-66.7521
10832,7923,e-,11,362.494,-65.7639,23.3661,355.712
10833,7923,e+,-11,42.9255,41.807,-4.96487,8.37419
10834,7924,e+,-11,65.1775,-38.084,26.605,-45.7154
10835,7925,e-,11,40.0229,11.2404,36.3589,-12.3902
10836,7925,e+,-11,60.9232,32.8629,5.03898,-51.0517
10837,7926,e-,11,85.1838,64.2353,53.8346,15.2295
10838,7927,e+,-11,167.977,-38.5278,-18.2839,-162.473
10839,7928,e+,-11,51.229,-31.9046,-15.4299,-36.9922
10840,7928,e-,11,50.6066,8.23318,33.8736,36.6854
10841,7929,e+,-11,26.6054,22.1483,-9.19758,11.5197
10842,7930,e+,-11,106.987,-10.9371,-40.5947,98.3807
10843,7930,e-,11,17.8616,10.4909,-14.4477,-0.489462
10844,7931,e+,-11,194.306,82.11,-25.4939,-174.249
10845,7931,e-,11,50.6264,-48.4533,-13.7873,5.02141
10846,7932,e+,-11,58.9489,56.4972,4.54059,16.1996
10847,7932,e-,11,22.9094,-18.4775,-1.47192,13.4632
10848,7933,e+,-11,57.426,-24.8456,24.3357,-45.697
10849,7933,e-,11,84.5054,9.32958,-15.1271,-82.6154
10850,7934,e+,-11,297.167,101.008,125.175,-249.874
10851,7934,e-,11,78.0387,0.485315,34.2351,-70.1267
10852,7935,e-,11,87.2602,74.127,-21.7661,-40.5681
10853,7935,e+,-11,65.8983,-50.4268,5.83683,42.0197
10854,7936,e-,11,140.357,8.22775,58.3973,127.367
10855,7937,e+,-11,76.3818,44.4124,39.5466,-47.9351
10856,7938,e+,-11,22.312,-4.96616,-13.9398,-16.6986
10857,7939,e-,11,50.659,15.7622,32.5997,-35.4281
10858,7940,e-,11,76.1756,7.37308,61.4421,44.421
10859,7941,e-,11,69.6326,-23.7819,42.5583,-49.7183
